Campaign,Ad Group,Keyword,Match Type,Categoria
[Pesquisa] Ecobraz — Coletas B2B,,doar,Negative Broad,Curioso / residencial / gratuito
[Pesquisa] Ecobraz — Coletas B2B,,onde jogar,Negative Phrase,Curioso / residencial / gratuito
[Pesquisa] Ecobraz — Coletas B2B,,posso jogar,Negative Phrase,Curioso / residencial / gratuito
[Pesquisa] Ecobraz — Coletas B2B,,lixo comum,Negative Phrase,Curioso / residencial / gratuito
[Pesquisa] Ecobraz — Coletas B2B,,comprar,Negative Broad,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,compra,Negative Broad,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,venda,Negative Broad,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,vender,Negative Broad,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,quanto vale,Negative Phrase,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,preço da sucata,Negative Phrase,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,sucata paga,Negative Phrase,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,compro sucata,Negative Phrase,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,valor da sucata,Negative Phrase,Compra / venda / sucata paga
[Pesquisa] Ecobraz — Coletas B2B,,resíduo hospitalar,Negative Phrase,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,resíduos hospitalares,Negative Phrase,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,lixo hospitalar,Negative Phrase,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,infectante,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,infectantes,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,perfurocortante,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,perfurocortantes,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,agulhas,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,seringas,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,medicamento,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,medicamentos,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,radioativo,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,quimioterápico,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,rss,Negative Broad,Fora de escopo hospitalar (contaminados / RSS)
[Pesquisa] Ecobraz — Coletas B2B,,rio de janeiro,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,rj,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,belo horizonte,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,bh,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,curitiba,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,porto alegre,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,salvador,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,recife,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,fortaleza,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,brasília,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,goiânia,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,manaus,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,belém,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,natal,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,londrina,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,florianópolis,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,vitória,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,,cuiabá,Negative Phrase,Fora da área de cobertura
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,geladeira,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,eletrodoméstico,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,eletrodomésticos,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,hospitalar,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,hospitalares,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,hd,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,dados,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Ativos de TI desmobilizados,hospitalar,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Ativos de TI desmobilizados,data center,Negative Phrase,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Linha branca e eletrodomésticos — Lotes,hospitalar,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Linha branca e eletrodomésticos — Lotes,informática,Negative Broad,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Equipamentos hospitalares eletrônicos,linha branca,Negative Phrase,Roteamento entre grupos
[Pesquisa] Ecobraz — Coletas B2B,Equipamentos hospitalares eletrônicos,geladeira,Negative Broad,Roteamento entre grupos
