origem,destino,acao,motivo
/coluna/220/a-economia-do-descarte-analise-financeira-de-capex-vs-opex-na-gestao-de-ativos-de-ti-baixa-contabil-de-bens-obsoletos-e-os-impactos-tributarios-da-destruicao-certificada-no-balanco-patrimonial,/descarte-de-ativos-de-ti-desmobilizados/,equivalente,landing equivalente
/coluna/223/gestao-de-residuos-de-equipamentos-eletromedicos-desafios-da-rdc-222-18-da-anvisa-riscos-radiologicos-e-a-protecao-de-dados-sensiveis-de-pacientes-no-descomissionamento-de-infraestrutura-hospitalar,/blog/normas-da-anvisa-e-lixo-eletronico-cuidados-especiais-no-descarte-de-equipamentos-eletromedicos-e-hospitalares/,equivalente,tema já coberto
/coluna/239/normas-da-anvisa-e-o-lixo-eletronico-hospitalar-o-guia-de-descarte-para-gestores-de-saude,/blog/normas-da-anvisa-e-lixo-eletronico-cuidados-especiais-no-descarte-de-equipamentos-eletromedicos-e-hospitalares/,equivalente,tema já coberto
/coluna/226/descomissionamento-de-ativos-de-automacao-industrial-e-a-protecao-da-propriedade-intelectual-como-o-descarte-incorreto-de-clps-ihms-e-drivers-expoe-o-segredo-de-fabrica-e-cria-passivos-ambientais-na-industria-4-0,/descarte-de-maquinas-e-equipamentos-industriais/,equivalente,landing equivalente
/coluna/231/descarte-de-geladeira-em-sp-evite-multas-e-riscos-ambientais,/descarte-de-geladeira-velha/,equivalente,material equivalente
/coluna/241/o-fim-da-despesa-com-descarte-como-o-subsidio-cruzado-zera-seus-custos-de-ti,/coleta-de-lixo-eletronico-para-empresas/,equivalente,landing comercial
/coluna/242/token-ecobraz-a-tecnologia-blockchain-como-ferramenta-de-financiamento-da-coleta-de-lixo-eletronico,/noticias-esg/,regra,conteúdo de token exige revisão de compliance
/coluna/267/ecobraz-carbon-token-como-funciona-o-financiamento-da-coleta,/noticias-esg/,regra,conteúdo de token exige revisão de compliance
/coluna/252/esg-e-o-fim-da-tolerancia-na-gestao-de-residuos-industriais-em-2025,/descarte-de-maquinas-e-equipamentos-industriais/,equivalente,landing equivalente
/coluna/256/desafios-do-novo-marco-legal-do-saneamento-basico-lei-14-026-2020,/noticias-esg/,regra,fora do escopo de e-lixo
/coluna/259/o-deficit-logistico-que-ameaca-a-conformidade-do-seu-relatorio-esg-2025,/logistica-reversa/,equivalente,landing equivalente
/coluna/260/a-gestao-de-residuos-perigosos-classe-i-e-as-exigencias-da-nr-20-e-nr-33,/blog/procedimento-operacional-padrao-pop-coleta-e-descarte-de-elixo/,equivalente,categoria processos
/coluna/262/canibalizacao-de-hardware-o-risco-oculto-no-itad-corporativo,/descarte-de-ativos-de-ti-desmobilizados/,equivalente,landing equivalente
/coluna/263/gestao-tecnica-de-residuos-eletronicos-em-servicos-de-saude,/descarte-de-equipamentos-hospitalares/,equivalente,landing equivalente
/coluna/264/logistica-reversa-de-baterias-de-litio-desafios-2025,/blog/descarte-de-baterias-de-litio-riscos-normas-e-destinacao-segura/,equivalente,tema já coberto
/coluna/269/feliz-natal-2025-gratidao-na-estrada-com-a-ecobraz,/noticias-esg/,regra,sazonal
/coluna/272/caminhao-na-rua-ecobraz-inicia-a-operacao-2026,/noticias-esg/,regra,sazonal
/coluna/273/o-peso-invisivel-de-cada-clique,/noticias-esg/,regra,sem equivalente direto
/coluna/276/o-que-volta-na-mala-o-lixo-eletronico-invisivel-do-verao,/noticias-esg/,regra,sazonal
/coluna/277/auditorias-do-sinir-em-2026-o-rigor-no-compliance-de-reee,/documentacao-e-rastreabilidade/,equivalente,tema já coberto
/coluna/278/nbr-16156-o-rigor-tecnico-na-manufatura-reversa-de-eletronicos-em-2026,/blog/reciclagem-de-eletronicos-no-brasil-panorama-atual-desafios-e-oportunidades-para-empresas/,equivalente,categoria normas
/coluna/279/second-life-o-renascimento-das-baterias-de-litio-na-matriz-energetica-de-2026,/blog/descarte-de-baterias-de-litio-riscos-normas-e-destinacao-segura/,equivalente,tema já coberto
/coluna/280/o-desafio-do-ocaso-solar-logistica-reversa-de-paineis-fotovoltaicos-em-2026,/materiais-e-equipamentos-coletados/,equivalente,hub de materiais
/coluna/281/descomissionamento-de-data-centers-o-desafio-invisivel-da-revolucao-de-ia-em-2026,/desmobilizacao-de-data-center/,equivalente,landing equivalente
/coluna/282/nbr-10004-o-dna-do-residuo-e-a-seguranca-juridica-em-2026,/blog/tabela-de-classificacao-de-residuos-eletronicos-abntconama-consulta-rapida/,equivalente,tema já coberto
/coluna/283/o-fim-do-greenwashing-auditorias-de-residuos-e-o-rigor-esg-em-2026,/blog/o-papel-da-logistica-reversa-na-certificacao-iso-14001-das-empresas/,equivalente,categoria compliance
/coluna/284/lei-de-crimes-ambientais-a-responsabilidade-do-gestor-em-2026,/blog/licenciamento-ambiental-para-recicladores-de-eletronicos-o-que-verificar-antes-de-contratar/,equivalente,categoria compliance
/coluna/286/logistica-de-risco-o-rigor-do-transporte-de-residuos-perigosos-em-2026,/blog/normas-da-antt-e-abnt-para-transporte-de-baterias-de-litio/,equivalente,tema já coberto
/coluna/35/ecobraz-busca-aliados-para-expansao-sustentavel,/noticias-esg/,regra,institucional antigo
/coluna/58/guia-completo-para-o-descarte-correto-de-maquinas-de-lavar,/descarte-de-maquina-de-lavar/,equivalente,material equivalente
/coluna/77/descarte-de-e-lixo-o-que-a-lei-brasileira-exige,/blog/empresas-obrigadas-a-fazer-logistica-reversa-lista-completa/,equivalente,categoria compliance
/coluna/82/como-descartar-lixo-eletronico-corretamente-na-empresa,/coleta-de-lixo-eletronico-para-empresas/,equivalente,landing comercial
/coluna/83/onde-descartar-lixo-eletronico-da-empresa-com-seguranca,/coleta-de-lixo-eletronico-para-empresas/,equivalente,landing comercial
/coluna/84/o-que-e-permitido-descartar-como-lixo-eletronico-na-empresa,/blog/o-que-e-considerado-lixo-eletronico-exemplos-e-destinos-corretos-com-a-ecobraz/,equivalente,tema já coberto
/coluna/91/como-descartar-monitores-e-telas-de-forma-correta,/descarte-de-televisao/,equivalente,material equivalente
/downloads,/evidencias/,equivalente,seção documental
/downloads/24/qualificacao-como-oscip-ministerio-da-justica-e-seguranca-publica,/evidencias/,equivalente,ATENÇÃO: possível documento do P0-06 (OSCIP) pendente
/noticia/187/a-ultracentrifuga-brasileira-e-o-dominio-do-ciclo-nuclear,/museu/a-ultracentrifuga-brasileira-e-o-dominio-do-ciclo-nuclear/,migrar,página nº 1 de tráfego do informa (105 cliques GSC; pos ~2)
/noticia/163/maquina-de-costura-eletrica-singer-o-motor-que-vestiu-mundo,/museu/maquina-de-costura-eletrica-singer-o-motor-que-vestiu-mundo/,migrar,19 cliques GSC
/noticia/184/o-primeiro-circuito-integrado-brasileiro,/museu/o-primeiro-circuito-integrado-brasileiro/,migrar,18 cliques GSC
/noticia/219/sony-playstation-2-o-videogame-que-dominou-mundo,/museu/sony-playstation-2-o-videogame-que-dominou-mundo/,migrar,12 cliques GSC
/noticia/164/projetor-dos-irmaos-lumiere-o-nascimento-do-cinema,/museu/projetor-dos-irmaos-lumiere-o-nascimento-do-cinema/,migrar,9 cliques GSC
/noticia/145/telegrafo-de-morse-o-inicio-da-era-das-mensagens-eletricas,/museu/telegrafo-de-morse-o-inicio-da-era-das-mensagens-eletricas/,migrar,9 cliques GSC
/noticia/554/sega-master-system-1985-z80a-tec-toy-e-o-pause-no-console,/noticias-esg/,regra,9 cliques GSC (via /amp) — página removida do site de origem (confirmado 16/07/2026); sem conteúdo em nenhum arquivo
/noticia/614/reserva-de-mercado-1984-a-era-da-engenharia-reversa,/noticias-esg/,regra,9 cliques GSC — página removida do site de origem (confirmado 16/07/2026); sem conteúdo em nenhum arquivo
/noticia/217/atari-2600-o-videogame-que-levou-os-jogos-para-casa,/noticias-esg/,regra,6 cliques GSC — página removida do site de origem (confirmado 16/07/2026); sem conteúdo em nenhum arquivo
/noticia/565/neo-geo-aes-1990-cartuchos-gigantes-e-hardware-arcade,/museu/neo-geo-aes-1990-cartuchos-gigantes-e-hardware-arcade/,migrar,6 cliques GSC
/noticia/173/do-microprocessador-ao-computador-pessoal-a-era-digital-comeca,/museu/do-microprocessador-ao-computador-pessoal-a-era-digital-comeca/,migrar,6 cliques GSC
/noticia/387/pdp11-o-minicomputador-que-moldou-a-computacao-moderna,/museu/pdp11-o-minicomputador-que-moldou-a-computacao-moderna/,migrar,4 cliques GSC
/noticia/177/orelhao-design-tecnologia-e-cidadania-urbana,/museu/orelhao-design-tecnologia-e-cidadania-urbana/,migrar,5 cliques GSC
/noticia/189/o-primeiro-microscopio-eletronico-fabricado-no-brasil,/museu/o-primeiro-microscopio-eletronico-fabricado-no-brasil/,migrar,8 cliques GSC (com /amp)
/noticia/160/fotografo-de-placa-vidro-a-precisao-da-luz-em-cristal,/museu/fotografo-de-placa-vidro-a-precisao-da-luz-em-cristal/,migrar,4 cliques GSC
/noticia/1243/cubatao-chuva-acida-e-o-ar-envenenado-pelo-progresso,/blog/cubatao-chuva-acida-e-o-ar-envenenado-pelo-progresso/,migrar,17 cliques GSC (com /amp) — série desastres
/noticia/1227/agbogbloshie-o-maior-desastre-de-lixo-eletronico-do-mundo,/blog/agbogbloshie-o-maior-desastre-de-lixo-eletronico-do-mundo/,migrar,13 cliques GSC — série desastres
/noticia/1240/itaiitai-o-cadmio-a-agua-e-agonia-dos-ossos,/blog/itaiitai-o-cadmio-a-agua-e-agonia-dos-ossos/,migrar,12 cliques GSC — série desastres
/noticia/1245/deepwater-horizon-o-colapso-e-vazamento-toxico,/blog/deepwater-horizon-o-colapso-e-vazamento-toxico/,migrar,5 cliques GSC — série desastres
/noticia/1239/anniston-e-o-pcb-a-tragedia-do-veneno-eterno-lixo-eletronico,/blog/anniston-e-o-pcb-a-tragedia-do-veneno-eterno-lixo-eletronico/,migrar,4 cliques GSC — série desastres
/noticia/86/quais-componentes-de-um-eletronico-podem-ser-reciclados,/blog/quais-componentes-de-um-eletronico-podem-ser-reciclados/,migrar,23 cliques GSC
/noticia/419/brasil-proibe-exportacao-de-lixo-eletronico-bruto-e-cria-reserva-estrategica,/noticias-esg/,regra,18 cliques GSC (com /amp) — página removida do site de origem (confirmado 16/07/2026); sem conteúdo em nenhum arquivo
/noticia/481/o-caso-funko-pop-quando-estoque-vira-entulho,/noticias-esg/,regra,12 cliques GSC (via /amp) — página removida do site de origem (confirmado 16/07/2026); sem conteúdo em nenhum arquivo
/noticia/775/o-impacto-invisivel-do-descarte-de-eletronicos-em-2026,/blog/o-impacto-do-lixo-eletronico-no-meio-ambiente-dados-2025/,equivalente,7 cliques — tema coberto
/noticia/351/obsolescencia-programada-nos-carros-eletricos,/blog/obsolescencia-programada-nos-carros-eletricos/,migrar,13 cliques GSC (com /amp)
/noticia/1261/brasil-recicla-apenas-3-do-lixo-eletronico-que-produz,/blog/lixo-eletronico-no-brasil-numeros-atualizados-2025/,equivalente,7 cliques — números BR já cobertos (evita número sem fonte)
/noticia/919/como-descartar-equipamentos-de-diagnostico-por-imagem-em-sp,/blog/descarte-de-equipamentos-de-imagem-medica-raio-x-tomografos-etc/,equivalente,10 cliques — tema coberto
/noticia/922/como-descartar-equipamentos-odontologicos-e-esteticos-em-sp,/descarte-de-equipamentos-hospitalares/,equivalente,10 cliques — landing de saúde
/noticia/903/descarte-de-equipamentos-radiologia-e-clinicas-dentarias,/blog/descarte-de-equipamentos-de-imagem-medica-raio-x-tomografos-etc/,equivalente,4 cliques — tema coberto
/noticia/105/como-descartar-cabos-fones-e-carregadores-corretamente,/blog/por-que-fios-e-cabos-eletricos-nao-devem-ser-jogados-no-lixo-comum/,equivalente,5 cliques — tema coberto
/noticia/83/o-que-fazer-antes-de-entregar-um-hd-ou-ssd-para-reciclagem,/blog/sanitizacao-de-dados-em-hds-e-ssds-como-fazer-de-forma-certificada/,equivalente,5 cliques — tema coberto
/noticia/81/posso-jogar-meu-computador-no-lixo-comum,/blog/por-que-nao-jogar-eletronicos-no-lixo-comum-entenda-os-riscos-reais/,equivalente,5 cliques — tema coberto
/noticia/1408/tv-velha-no-lixo-comum-o-perigo-oculto-na-calcada,/blog/tv-antiga-como-e-onde-descartar-corretamente-em-2025/,equivalente,4 cliques — tema coberto
/noticia/1400/descarte-de-monitores-antigos-o-passivo-toxico-na-sua-ti,/descarte-de-televisao/,equivalente,4 cliques — material equivalente
/downloads/20/pcmso-programa-de-controle-medico-de-saude-ocupacional-vigencia-2025-2026,/evidencias/,equivalente,10 cliques — documental
